1748292860;undefined;undefined;undefined
1748292940;-0.08979;-7.64671;0.60621
1748292960;0.28788;-7.31126;0.61903
1748292980;0.05517;-7.13074;0.51871
1748293000;-0.19636;-6.90212;0.48784
