1751587260,0.60107,0.47949,0.55811,0.64404
1751587320,0.60352,0.48145,0.55811,0.63428
1751587380,0.60107,0.47949,0.55566,0.63428
1751587440,0.59863,0.47949,0.56299,0.63428
1751587500,0.60107,0.48145,0.55811,0.64648
1751587560,0.60352,0.47949,0.56055,0.63672
1751587620,0.60352,0.47949,0.55811,0.625
1751587680,0.60352,0.48633,0.55566,0.62695
1751587740,0.59619,0.48633,0.55811,0.61279
1751587800,0.60791,0.47461,0.55811,0.61523
1751587860,0.60791,0.47705,0.55811,0.625
1751587920,0.65088,0.48633,0.55811,0.62256
1751587980,0.64844,0.47705,0.55566,0.63184
1751588040,0.6416,0.47461,0.56055,0.625
1751588100,0.60107,0.47461,0.56299,0.62939
1751588160,0.60791,0.48389,0.56055,0.61279
1751588220,0.61035,0.48389,0.55811,0.62695
1751588280,0.61035,0.48389,0.55811,0.62695
1751588340,0.61523,0.48389,0.55811,0.62695
1751588400,0.61768,0.48633,0.55811,0.63916
1751588460,0.61279,0.49365,0.56055,0.6416
1751588520,0.61523,0.50537,0.55566,0.6416
1751588580,0.62256,0.51758,0.56055,0.63428
1751588640,0.62012,0.52441,0.55078,0.62939
1751588700,0.62256,0.53174,0.55078,0.63916
1751588760,0.61523,0.53418,0.55811,0.62939
1751588820,0.63184,0.53906,0.55811,0.63672
1751588880,0.63672,0.53906,0.55811,0.6582
1751588940,0.62695,0.5415,0.55811,0.6582
1751589000,0.625,0.53906,0.56055,0.65088
1751589060,0.62939,0.5127,0.55811,0.65576
1751589120,0.65332,0.52197,0.55811,0.65332
