1754477640,-26.7,52.74375,-26.71875,52.7625
1754477700,-30.24375,52.06875,-30.2625,52.06875
1754477760,-33.88125,51.6375,-33.9,51.6375
1754477820,-37.575,51.46875,-37.70625,51.45
1754477880,-41.2875,51.54375,-41.4,51.54375
1754477940,-44.94375,51.8625,-45.05625,51.8625
1754478000,-48.50625,52.44375,-48.6375,52.4625
1754478060,-51.975,53.25,-52.0875,53.23125
1754478120,-55.275,54.28125,-55.29375,54.28125
1754478180,-58.425,55.51875,-58.425,55.51875
1754478240,-61.36875,56.9625,-61.4625,57.01875
1754478300,-64.10625,58.55625,-64.2,58.6125
1754478360,-66.65625,60.3,-66.675,60.39375
1754478420,-69,62.175,-69.1125,62.26875
1754478480,-71.11875,64.18125,-71.23125,64.275
1754478540,-73.06875,66.28125,-73.1625,66.375
1754478600,-74.83125,68.45625,-74.8875,68.56875
1754478660,-76.3875,70.70625,-76.44375,70.8
1754478720,-77.79375,73.03125,-77.85,73.14375
1754478780,-79.03125,75.39375,-79.0875,75.50625
1754478840,-80.11875,77.79375,-80.11875,77.8125
1754478900,-81.075,80.23125,-81.05625,80.23125
1754478960,-81.75,82.275,-81.73125,82.18125
1754479020,67.29375,76.36875,67.25625,76.48125
1754479080,68.08125,72.375,68.08125,72.35625
1754479140,68.90625,68.83125,68.90625,68.8125
1754479200,69.8625,65.2875,69.8625,65.26875
1754479260,70.9875,61.70625,70.9875,61.70625
1754479320,72.3,58.14375,72.28125,58.14375
1754479380,73.81875,54.58125,73.81875,54.58125
1754479440,75.61875,51.0375,75.7125,51.0375
1754479500,77.7375,47.53125,77.85,47.5125
1754479560,80.2125,44.1,80.2125,44.08125
1754479620,83.19375,40.74375,83.19375,40.725
1754479680,86.75625,37.5,86.775,37.5
1754479740,91.03125,34.44375,91.05,34.425
1754479800,96.1875,31.6125,96.1875,31.59375
1754479860,102.375,29.0625,102.39375,29.0625
1754479920,109.63125,26.9625,109.65,26.86875
1754479980,118.0875,25.36875,118.10625,25.36875
1754480040,127.425,24.4125,127.44375,24.4125
