1750431660,55.26124,-24.40064,1653.54
1750431720,59.32618,-24.23584,1653.54
1750431780,63.27028,-24.09302,1653.54
1750431840,66.77491,-23.97217,1653.54
1750431900,69.67531,-33.03589,1653.54
1750431960,73.41066,-32.78321,1653.54
1750432020,77.22292,-32.54151,1653.54
1750432080,80.91432,-32.33277,1653.54
1750432140,84.5508,-32.13501,1653.54
1750432200,88.14333,-31.94825,1653.54
1750432260,91.71388,-31.76148,1653.54
1750432320,-35.8484,-12.57935,1653.54
1750432380,-66.51124,-12.2937,1653.54
1750432440,-62.54518,-12.01904,1653.54
1750432500,-58.52418,-11.7334,1653.54
1750432560,-54.47022,-11.4148,1653.54
1750432620,-50.37232,-11.07422,1653.54
1750432680,-46.25245,-10.72266,1653.54
1750432740,-42.07764,-10.33814,1653.54
1750432800,-37.88087,-9.90967,1653.54
1750432860,-33.65113,-9.47022,1653.54
1750432920,-29.38843,-9.03076,1653.54
1750432980,-25.09278,-8.53638,1653.54
1750433040,-20.76416,-8.05298,1653.54
1750433100,-16.43555,-7.54761,1653.54
1750433160,-12.06299,-6.99829,1653.54
1750433220,-7.69043,-6.45996,1653.54
1750433280,-3.31787,-5.93262,1653.54
1750433340,1.07666,-5.35034,1653.54
1750433400,5.48218,-4.80103,1653.54
1750433460,9.87671,-4.24072,1653.54
1750433520,14.27124,-3.66943,1653.54
1750433580,18.66578,-3.12012,1653.54
1750433640,23.02735,-2.60376,1653.54
1750433700,27.38892,-2.05444,1653.54
1750433760,31.59669,-1.56006,1653.54
1750433820,36.05714,-1.07666,1653.54
1750433880,40.3418,-0.58228,1653.54
1750433940,44.61549,-0.14282,1653.54
1750434000,48.83424,0.27466,1653.54
1750434060,53.02003,0.67017,1653.54
1750434120,57.17286,1.0437,1653.54
1750434180,61.28175,1.37329,1653.54
1750434240,65.35767,1.70288,1653.54
1750434300,65.55543,1.70288,1653.54
1750434360,65.55543,1.70288,1653.54
1750434420,65.55543,1.70288,1653.54
1750434480,65.55543,1.70288,1653.54
1750434540,65.55543,1.70288,1653.54
1750434600,65.55543,1.70288,1653.54
1750434660,65.55543,1.70288,1653.54
1750434720,65.55543,1.70288,1653.54
1750434780,65.55543,1.70288,1653.54
1750434840,65.55543,1.70288,1653.54
1750434900,65.55543,1.70288,1653.54
1750434960,65.55543,1.70288,1653.54
1750435020,-40.69337,30.25635,1653.54
1750435080,-36.55152,30.59693,1653.54
1750435140,-32.36573,30.92652,1653.54
1750435200,-28.12501,31.23414,1653.54
1750435260,-23.76343,31.54175,1653.54
1750435320,-19.42383,31.80543,1653.54
1750435380,-15.04029,32.0691,1653.54
1750435440,-10.61279,32.29981,1653.54
1750435500,-6.16333,32.49756,1653.54
1750435560,-1.68091,32.66236,1653.54
1750435620,2.82349,32.81617,1653.54
1750435680,7.34985,32.90406,1653.54
1750435740,11.88721,32.95899,1653.54
1750435800,-70.07082,-42.14356,1653.54
1750435860,-66.09376,-42.55006,1653.54
1750435920,-62.10572,-42.91261,1653.54
1750435980,-57.93092,-43.28614,1653.54
1750436040,-53.75611,-43.6377,1653.54
1750436100,-49.61427,-43.95631,1653.54
1750436160,-45.27467,-44.26392,1653.54
