timestamp,Starboard Thermal Radiator Rotating Joint (TRRJ) Position [°],Loop A (Stbd) Pump Flowrate [kg/hr],Loop A (Stbd) PM Out Press [kPa],Loop A (Stbd) PM Out Temp [°C]
1751593200,24.78881,3371.6665,1947.38831,3.88942
1751593260,24.7998,3385.11353,1947.38831,3.88942
1751593320,24.78881,3358.21924,1947.38831,3.88942
1751593380,24.78881,3371.6665,1947.38831,3.82685
1751593440,24.7998,3371.6665,1947.38831,3.88942
1751593500,24.78881,3385.11353,1947.38831,3.88942
1751593560,24.78881,3385.11353,1947.38831,3.88942
1751593620,24.78881,3385.11353,1947.38831,3.88942
1751593680,24.78881,3385.11353,1947.38831,3.88942
1751593740,24.78881,3358.21924,1947.38831,3.95199
1751593800,24.7998,3358.21924,1949.50085,3.95199
1751593860,24.79431,3358.21924,1949.50085,3.95199
1751593920,24.7998,3371.6665,1949.50085,3.95199
1751593980,24.7998,3371.6665,1949.50085,4.01456
1751594040,24.7998,3371.6665,1951.6134,3.88942
1751594100,24.7998,3385.11353,1949.50085,3.88942
1751594160,24.79431,3371.6665,1949.50085,3.88942
1751594220,24.7998,3358.21924,1949.50085,3.88942
1751594280,24.78881,3371.6665,1949.50085,3.88942
1751594340,24.7998,3385.11353,1949.50085,3.95199
1751594400,24.78881,3358.21924,1949.50085,3.95199
1751594460,24.7998,3399.14526,1949.50085,4.01456
1751594520,24.7998,3371.6665,1951.6134,4.01456
1751594580,24.7998,3358.21924,1949.50085,3.95199
1751594640,24.7998,3371.6665,1949.50085,3.95199
1751594700,24.79431,3358.21924,1949.50085,3.95199
1751594760,24.78881,3371.6665,1949.50085,3.88942
1751594820,24.7998,3385.11353,1949.50085,3.82685
1751594880,24.7998,3371.6665,1947.38831,3.82685
1751594940,24.7998,3371.6665,1947.38831,3.76427
1751595000,24.7998,3358.21924,1945.27576,3.7017
1751595060,24.78881,3371.6665,1943.16321,3.63913
1751595120,24.7998,3371.6665,1943.16321,3.63913
1751595180,24.78881,3371.6665,1941.05066,3.63913
1751595240,24.78881,3371.6665,1938.93799,3.57656
1751595300,24.79431,3385.11353,1938.93799,3.51399
1751595360,24.79431,3371.6665,1936.82544,3.51399
1751595420,24.7998,3385.11353,1936.82544,3.51399
1751595480,24.7998,3371.6665,1934.71289,3.57656
1751595540,24.7998,3385.11353,1934.71289,3.57656
1751595600,24.7998,3358.21924,1934.71289,3.57656
1751595660,24.79431,3358.21924,1932.60034,3.57656
1751595720,24.7998,3385.11353,1932.60034,3.57656
1751595780,24.7998,3385.11353,1930.48779,3.51399
1751595840,24.78881,3385.11353,1930.48779,3.51399
1751595900,24.7998,3371.6665,1930.48779,3.57656
1751595960,24.79431,3358.21924,1930.48779,3.57656
1751596020,24.7998,3371.6665,1928.37524,3.57656
1751596080,24.78881,3358.21924,1928.37524,3.57656
1751596140,24.79431,3371.6665,1928.37524,3.57656
1751596200,24.7998,3371.6665,1926.2627,3.57656
1751596260,24.7998,3371.6665,1926.2627,3.63913
1751596320,24.7998,3358.21924,1926.2627,3.57656
1751596380,24.7998,3371.6665,1926.2627,3.57656
1751596440,24.78881,3371.6665,1926.2627,3.63913
1751596500,24.79431,3358.21924,1926.2627,3.57656
1751596560,24.78881,3358.21924,1924.15015,3.63913
1751596620,24.79431,3371.6665,1926.2627,3.63913
1751596680,24.7998,3344.77222,1926.2627,3.63913
1751596740,24.78881,3385.11353,1926.2627,3.63913
1751596800,24.7998,3371.6665,1928.37524,3.63913
1751596860,24.7998,3371.6665,1928.37524,3.57656
1751596920,24.7998,3371.6665,1928.37524,3.57656
1751596980,24.7998,3371.6665,1928.37524,3.57656
1751597040,24.7998,3371.6665,1928.37524,3.57656
1751597100,24.7998,3371.6665,1928.37524,3.57656
1751597160,24.7998,3371.6665,1928.37524,3.57656
1751597220,24.7998,3371.6665,1928.37524,3.57656
1751597280,24.7998,3371.6665,1928.37524,3.57656
1751597340,24.7998,3371.6665,1928.37524,3.57656
1751597400,24.7998,3371.6665,1928.37524,3.57656
1751597460,24.7998,3371.6665,1928.37524,3.57656
1751597520,24.7998,3371.6665,1928.37524,3.57656
1751597580,24.7998,3371.6665,1928.37524,3.57656
1751597640,24.7998,3371.6665,1928.37524,3.57656
1751597700,24.7998,3371.6665,1928.37524,3.57656
1751597760,24.7998,3371.6665,1928.37524,3.57656
1751597820,24.7998,3371.6665,1928.37524,3.57656
1751597880,24.7998,3371.6665,1928.37524,3.57656
1751597940,24.7998,3371.6665,1928.37524,3.57656
1751598000,24.78881,3371.6665,1941.05066,4.01456
1751598060,24.78881,3358.21924,1943.16321,4.01456
1751598120,24.7998,3358.21924,1943.16321,3.95199
1751598180,24.7998,3358.21924,1943.16321,3.95199
1751598240,24.78881,3358.21924,1945.27576,3.95199
1751598300,24.7998,3358.21924,1945.27576,3.95199
1751598360,24.7998,3371.6665,1945.27576,3.82685
1751598420,24.7998,3371.6665,1945.27576,3.88942
1751598480,24.7998,3371.6665,1945.27576,3.88942
1751598540,24.7998,3371.6665,1945.27576,3.88942
1751598600,24.78881,3371.6665,1945.27576,3.95199
1751598660,24.7998,3371.6665,1945.27576,3.95199
1751598720,24.7998,3371.6665,1945.27576,4.01456
1751598780,24.7998,3358.21924,1945.27576,4.01456
1751598840,24.78881,3385.11353,1947.38831,4.01456
1751598900,24.7998,3371.6665,1945.27576,3.88942
1751598960,24.7998,3371.6665,1945.27576,3.88942
1751599020,24.78881,3358.21924,1945.27576,3.88942
1751599080,24.7998,3385.11353,1947.38831,3.88942
1751599140,24.7998,3385.11353,1945.27576,3.76427
1751599200,24.78881,3385.11353,1945.27576,3.76427
1751599260,24.7998,3358.21924,1945.27576,3.82685
1751599320,24.7998,3371.6665,1947.38831,3.88942
1751599380,24.7998,3385.11353,1947.38831,3.88942
1751599440,24.78881,3358.21924,1947.38831,3.95199
1751599500,24.79431,3371.6665,1947.38831,4.01456
1751599560,24.7998,3385.11353,1947.38831,4.01456
1751599620,24.7998,3385.11353,1947.38831,4.01456
1751599680,24.78881,3385.11353,1947.38831,3.88942
1751599740,24.7998,3385.11353,1947.38831,3.88942
1751599800,24.78881,3385.11353,1947.38831,3.82685
1751599860,24.7998,3371.6665,1947.38831,3.82685
1751599920,24.7998,3371.6665,1947.38831,3.76427
1751599980,24.78881,3371.6665,1945.27576,3.7017
1751600040,24.7998,3385.11353,1947.38831,3.63913
1751600100,24.7998,3371.6665,1945.27576,3.57656
1751600160,24.7998,3385.11353,1945.27576,3.57656
1751600220,24.78881,3385.11353,1945.27576,3.63913
1751600280,24.78881,3371.6665,1945.27576,3.63913
1751600340,24.78881,3371.6665,1945.27576,3.63913
1751600400,24.78881,3371.6665,1945.27576,3.63913
1751600460,24.7998,3371.6665,1945.27576,3.63913
