1748292860;undefined;undefined;undefined;undefined
1748292940;0.99746;0.00544;-0.06227;-0.03421
1748292960;0.99746;0.00547;-0.06227;-0.03421
1748292980;0.99746;0.00549;-0.06228;-0.03421
1748293000;0.99746;0.00552;-0.06229;-0.03421
